Year,Round,College Code,College,Course,3AG,3AH,3AK,3AKH,3AR,3ARH,GM,GMH,GMK,GMKH,GMR,GMRH
2022,R1,E098,"Atria Institute of Technology Bangalore","Computer Science and Design",53495,,,,,,49355,,52787,,83596,
2022,R1,E098,"Atria Institute of Technology Bangalore","Computer Science and Engineering",24244,,,,,,23976,,32171,,25207,
2022,R1,E098,"Atria Institute of Technology Bangalore","Computer Science and Engineering - Data Science",36338,,,,,,35738,,,,42793,
2022,R1,E098,"Atria Institute of Technology Bangalore","Information Science and Engineering",34547,,61194,,,,33170,,36857,,36067,
2022,R1,E099,"New Horizon College of Engineering Bangalore","Artificial Intelligence and Machine Learning",17017,,,,,,15969,,23347,,19367,
2022,R1,E099,"New Horizon College of Engineering Bangalore","Computer Engineering",16247,,,,,,16177,,30411,,17710,
2022,R1,E099,"New Horizon College of Engineering Bangalore","Computer Science and Engineering",8115,,,,10323,,6932,,10771,,9930,
2022,R1,E099,"New Horizon College of Engineering Bangalore","Computer Science and Engineering - Data Science",14178,,,,,,13676,,27760,,15225,
2022,R1,E099,"New Horizon College of Engineering Bangalore","Information Science and Engineering",11975,,,,,,11176,,15137,,12897,
2022,R1,E100,"K N S Institute of Technology Bangalore","Computer Science and Engineering",51215,,,,,,49932,,58621,,55659,
2022,R1,E100,"K N S Institute of Technology Bangalore","Information Science and Engineering",63453,,,,,,58011,,60412,,62808,
2022,R1,E101,"Channabasaveshwara Institute of Technology Gubbi, Tumkur","Artificial Intelligence and Data Science",60954,,,,,,56308,,66569,,59473,
2022,R1,E101,"Channabasaveshwara Institute of Technology Gubbi, Tumkur","Computer Science and Engineering",35090,,,,,,33562,,36756,,40902,
2022,R1,E101,"Channabasaveshwara Institute of Technology Gubbi, Tumkur","Information Science and Engineering",44807,,,,,,44179,,,,49207,
2022,R1,E102,"DONBOSCO Institute of Technology Bangalore","Artificial Intelligence and Data Science",45313,,,,,,45203,,64824,,57135,
2022,R1,E102,"DONBOSCO Institute of Technology Bangalore","Computer Science (AI and Machine Learning)",44405,,88320,,55945,,43882,,56642,,55201,
2022,R1,E102,"DONBOSCO Institute of Technology Bangalore","Computer Science and Engineering",26951,,,,,,26411,,30419,,28160,
2022,R1,E102,"DONBOSCO Institute of Technology Bangalore","Information Science and Engineering",35651,,,,,,35235,,49102,,40574,
2022,R1,E103,"Global Academy of Technology Bangalore","Artificial Intelligence and Data Science",26867,,,,,,26594,,38526,,31441,
2022,R1,E103,"Global Academy of Technology Bangalore","Artificial Intelligence and Machine Learning",25932,,,,,,25774,,,,32608,
2022,R1,E103,"Global Academy of Technology Bangalore","Computer Science (AI and Machine Learning)",25341,,,,,,23463,,,,30862,
2022,R1,E103,"Global Academy of Technology Bangalore","Computer Science and Engineering",17312,,,,19895,,17211,,25082,,19468,
2022,R1,E103,"Global Academy of Technology Bangalore","Information Science and Engineering",23327,,,,,,21761,,31919,,23719,
2022,R1,E104,"Nagarjuna College of Engineering and Technology Bangalore (R)","Computer Science (AI and Machine Learning)",55805,,,,,,52287,,,,55011,
2022,R1,E104,"Nagarjuna College of Engineering and Technology Bangalore (R)","Computer Science and Engineering",37052,,,,,,36759,,38472,,41646,
2022,R1,E104,"Nagarjuna College of Engineering and Technology Bangalore (R)","Computer Science and Engineering - Data Science",61340,,,,,,58924,,66252,,68232,
2022,R1,E104,"Nagarjuna College of Engineering and Technology Bangalore (R)","Information Science and Engineering",46403,,,,50004,,45269,,57086,,45518,
2022,R1,E105,"Nitte Meenakshi Institutute of Technology Bangalore","Artificial Intelligence and Data Science",11879,,,,,,11171,,16386,,14018,
2022,R1,E105,"Nitte Meenakshi Institutute of Technology Bangalore","Artificial Intelligence and Machine Learning",11042,,,,,,10768,,,,14326,
2022,R1,E105,"Nitte Meenakshi Institutute of Technology Bangalore","Computer Science and Engineering",6834,,,,9253,,6702,,12716,,8604,
2022,R1,E105,"Nitte Meenakshi Institutute of Technology Bangalore","Information Science and Engineering",9606,,,,12903,,9419,,15063,,11551,
2022,R1,E106,"East West Institute of Technology Bangalore","Artificial Intelligence and Data Science",55523,,,,,,53235,,67415,,60328,
2022,R1,E106,"East West Institute of Technology Bangalore","Artificial Intelligence and Machine Learning",53001,,,,59819,,52878,,85566,,53969,
2022,R1,E106,"East West Institute of Technology Bangalore","Computer Science and Engineering",33637,,,,,,33290,,36987,,37274,
2022,R1,E106,"East West Institute of Technology Bangalore","Information Science and Engineering",44938,,,,,,43727,,45067,,46491,
2022,R1,E107,"B N M Institute of Technology Bangalore","Artificial Intelligence and Machine Learning",12459,,,,,,12186,,29228,,19097,
